sku,supplier_part,description,connector,polarized,length_ft,conductor_awg,rating,price_usd
PC-1008,VLX-F8-08,"Figure-8 AC power cord, 8 ft",C7,N,8,18,2.5 A / 125 V,10.99
PC-1010,VLX-F8-10,"Figure-8 AC power cord, 10 ft",C7,N,10,18,2.5 A / 125 V,14.49
PC-1012,VLX-F8-12,"Figure-8 AC power cord, 12 ft",C7,N,12,18,2.5 A / 125 V,17.00
PC-1015,VLX-F8-15,"Figure-8 AC power cord, 15 ft",C7,N,15,18,2.5 A / 125 V,21.99
PC-1020,VLX-F8-20,"Figure-8 AC power cord, 20 ft",C7,N,20,18,2.5 A / 125 V,25.99
PC-2010,VLX-F8P-10,"Figure-8 AC power cord, polarized, 10 ft",C7,Y,10,18,2.5 A / 125 V,12.99
PC-3006,VLX-F8S-06,"Figure-8 AC power cord, slimline, 6 ft",C7,N,6,20,2.5 A / 125 V,8.49
PC-3008,VLX-F8S-08,"Figure-8 AC power cord, slimline, 8 ft",C7,N,8,20,2.5 A / 125 V,9.99
PC-3010,VLX-F8S-10,"Figure-8 AC power cord, slimline, 10 ft",C7,N,10,20,2.5 A / 125 V,11.49
PC-5010,VLX-C5-10,"Cloverleaf AC power cord, 10 ft",C5,N,10,18,2.5 A / 125 V,13.99
